model,feature_set,target_transform,mean_mape,median_mape,std_mape,q25_mape,q75_mape,mean_competition_score,mean_mae,mean_rmse,mean_r2
PowerLaw_peak_to_peak,SINGLE_peak_to_peak,log_log,0.277764108818528,0.2748661259604367,0.0657439998361004,0.2321518971561582,0.31701546275875125,0.722235891181472,0.04923265127303109,0.07457990572419969,0.8959146957596111
RandomForestRegressor,BASIC,direct,0.2845993724814651,0.27571294242935873,0.062112472298554045,0.23985464828457478,0.32357198128475223,0.7154006275185352,0.05101596086591303,0.08022373763723101,0.8724153508564015
PLSRegression_2_components,FATIGUE,direct,0.29847026101211754,0.2838161847307875,0.1219023829898894,0.21116799487113003,0.38214357457942694,0.7015297389878823,0.02766507570396719,0.03283525970623627,0.970025894124383
ExtraTreesRegressor,BASIC,direct,0.33555084784140454,0.311681439630063,0.09025266905069783,0.26712417362971363,0.37813184116357396,0.6644491521585953,0.047865795952878105,0.07191383050203771,0.8967854678116534
GradientBoostingRegressor,BASIC,direct,0.3491949324474002,0.3415662944079694,0.08787431220781611,0.2860790025749711,0.4042301895472885,0.6508050675525999,0.04668861423608309,0.06899946638708826,0.9046296021407969
PLSRegression_2_components,ALL,direct,0.5439457365274114,0.5122239600337007,0.22497565892733415,0.3900356469598884,0.662335791436355,0.462690999529938,0.044479489048510706,0.05385564323665205,0.9114055686113365
DummyRegressor_median,ALL,direct,0.9494252650481255,0.9265301951457217,0.22698354813544908,0.7828975312981571,1.0682920520852548,0.11417243087103028,0.18196789231346155,0.2826009286578147,-0.30538056133198677
ElasticNet,BASIC,direct,0.9759696017423519,0.9546878021847252,0.322075545326738,0.7300094664898124,1.1472242897138245,0.14208555270728163,0.07184987643943314,0.08852036696087966,0.7701757928884689
Ridge,BASIC,direct,1.0034883611596255,0.9538106717295327,0.3379525873743121,0.7359536693543205,1.17485847301237,0.13354064198568735,0.07234920984070213,0.09054306161219568,0.7641961907352808
LinearRegression_maximum_absolute_value,SINGLE_maximum_absolute_value,direct,1.1428935136872824,1.118332415575571,0.2997805065081452,0.9309969241031228,1.3477209174896223,0.057701365797150656,0.10732482884240044,0.13240407916143015,0.5731046598992726
LinearRegression_peak_to_peak,SINGLE_peak_to_peak,direct,1.1524598457355466,1.0921740697965217,0.3711889622990819,0.8447395436840299,1.4106369490952884,0.08044172040084321,0.09086719545872252,0.10777573825701837,0.6818780214138518
PLSRegression_5_components,BASIC,direct,1.2090334189752472,1.149904351838392,0.39511281723836783,0.9114669830421638,1.4298749186041548,0.06431852698483713,0.09144405242441411,0.11005786041467784,0.6670621267735812
PLSRegression_2_components,BASIC,direct,1.2911127295512614,1.2496612538527299,0.3917993186544583,1.0267405283382853,1.592005991419003,0.04390284949529608,0.10989279197615227,0.13226175218959146,0.5502279890912647
PLSRegression_3_components,BASIC,direct,1.3313808327699366,1.248586928235682,0.4043469152023895,1.033673879798132,1.6399857311487591,0.0318445854551655,0.1040765372318197,0.12142744292936204,0.5570359684654883
