model,feature_set,target_transform,fold,k
Physics_k_times_fatigue_power_5,SINGLE_fatigue_power_5,direct,66,4.2769440386903086e-11
Physics_k_times_fatigue_power_5,SINGLE_fatigue_power_5,direct,67,4.265744875611831e-11
Physics_k_times_fatigue_power_5,SINGLE_fatigue_power_5,direct,68,4.2730690417029815e-11
Physics_k_times_fatigue_power_5,SINGLE_fatigue_power_5,direct,69,4.295967438457394e-11
Physics_k_times_fatigue_power_5,SINGLE_fatigue_power_5,direct,70,4.2652506702218006e-11
Physics_k_times_fatigue_power_5,SINGLE_fatigue_power_5,direct,71,4.303224786550021e-11
Physics_k_times_fatigue_power_5,SINGLE_fatigue_power_5,direct,72,4.272079689614984e-11
Physics_k_times_fatigue_power_5,SINGLE_fatigue_power_5,direct,73,4.266594381864295e-11
Physics_k_times_fatigue_power_5,SINGLE_fatigue_power_5,direct,74,4.2634032431026944e-11
Physics_k_times_fatigue_power_5,SINGLE_fatigue_power_5,direct,75,4.270636830529002e-11
Physics_k_times_fatigue_power_5,SINGLE_fatigue_power_5,direct,76,4.269514621049713e-11
Physics_k_times_fatigue_power_5,SINGLE_fatigue_power_5,direct,77,4.270809544042107e-11
Physics_k_times_fatigue_power_5,SINGLE_fatigue_power_5,direct,78,4.258504744436863e-11
Physics_k_times_fatigue_power_5,SINGLE_fatigue_power_5,direct,79,4.287356950867715e-11
Physics_k_times_fatigue_power_5,SINGLE_fatigue_power_5,direct,80,4.284767631003859e-11
Physics_k_times_fatigue_power_5,SINGLE_fatigue_power_5,direct,81,4.267658011001707e-11
Physics_k_times_fatigue_power_5,SINGLE_fatigue_power_5,direct,82,4.268988826643834e-11
Physics_k_times_fatigue_power_5,SINGLE_fatigue_power_5,direct,83,4.2560766563216864e-11
Physics_k_times_fatigue_power_5,SINGLE_fatigue_power_5,direct,84,4.274949917146206e-11
Physics_k_times_fatigue_power_5,SINGLE_fatigue_power_5,direct,85,4.302997984135014e-11
Physics_k_times_fatigue_power_5,SINGLE_fatigue_power_5,direct,86,4.256581425909758e-11
Physics_k_times_fatigue_power_5,SINGLE_fatigue_power_5,direct,87,4.2673928235723e-11
Physics_k_times_fatigue_power_5,SINGLE_fatigue_power_5,direct,88,4.280775623304546e-11
Physics_k_times_fatigue_power_5,SINGLE_fatigue_power_5,direct,89,4.2920088711204124e-11
Physics_k_times_fatigue_power_5,SINGLE_fatigue_power_5,direct,90,4.2722762651805973e-11
Physics_k_times_fatigue_power_5,SINGLE_fatigue_power_5,direct,91,4.268981272246317e-11
Physics_k_times_fatigue_power_5,SINGLE_fatigue_power_5,direct,92,4.2579851952944437e-11
Physics_k_times_fatigue_power_5,SINGLE_fatigue_power_5,direct,93,4.27293220631393e-11
Physics_k_times_fatigue_power_5,SINGLE_fatigue_power_5,direct,94,4.2706933505803626e-11
Physics_k_times_fatigue_power_5,SINGLE_fatigue_power_5,direct,95,4.3026650177490545e-11
Physics_k_times_fatigue_power_5,SINGLE_fatigue_power_5,direct,96,4.271964976404528e-11
Physics_k_times_fatigue_power_5,SINGLE_fatigue_power_5,direct,97,4.2845297621900724e-11
Physics_k_times_fatigue_power_5,SINGLE_fatigue_power_5,direct,98,4.259142705605526e-11
Physics_k_times_fatigue_power_5,SINGLE_fatigue_power_5,direct,99,4.2774060453068996e-11
Physics_k_times_fatigue_power_5,SINGLE_fatigue_power_5,direct,100,4.277085374436071e-11
